epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13508.9,1.85237,2.90973,1.91175,0.67079,0.22581,0.18748,0.06875,0.22864,2.93685,0.25521,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13959.6,1.90901,2.93096,1.93983,0.63607,0.21183,0.23381,0.09576,0.22917,0.58264,0.24683,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14411.9,1.79583,2.88081,1.83928,0.71367,0.21573,0.21507,0.08213,0.22223,2.12028,0.24794,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14864.7,1.85884,2.86617,1.89486,0.67387,0.23387,0.19261,0.07246,0.23124,1.49352,0.25455,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15321.3,1.81265,2.80299,1.85257,0.73019,0.24194,0.24099,0.0918,0.22606,2.00091,0.24734,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15760.1,1.82,2.76106,1.86672,0.73822,0.21774,0.23786,0.09618,0.22175,0.98122,0.24234,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16202.7,1.81058,2.84216,1.86566,0.76078,0.20161,0.23149,0.08931,0.21908,0.73684,0.24221,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16648.9,1.82266,2.76726,1.84573,0.72309,0.23185,0.23688,0.08926,0.2241,1.60768,0.24793,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17099.8,1.83529,2.72634,1.89295,0.70558,0.24597,0.24747,0.09759,0.22457,3.63644,0.24563,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17550.2,1.77547,2.64533,1.82298,0.7208,0.21047,0.22885,0.09091,0.22287,1.19122,0.24931,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18000.4,1.77672,2.59302,1.80809,0.73871,0.21573,0.25336,0.10335,0.22665,1.07072,0.24305,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18450.9,1.77137,2.66648,1.8034,0.7127,0.24798,0.25398,0.10733,0.22363,1.46321,0.24332,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,370.899,1.80835,2.68441,1.83289,0.77174,0.22581,0.26966,0.10814,0.22475,0.86362,0.24174,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,821.979,1.68276,2.56907,1.75687,0.71912,0.25806,0.26492,0.11739,0.22019,1.00871,0.23666,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
