epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11530.2,1.79026,2.75047,1.77444,0.65468,0.26008,0.23288,0.09241,0.22442,0.96369,0.24136,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11892.4,1.83157,2.76965,1.82496,0.73637,0.22234,0.22692,0.08282,0.23571,1.44866,0.25421,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12249.5,1.78508,2.71505,1.7945,0.72229,0.22109,0.22776,0.09537,0.22565,1.23228,0.24246,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12606.8,1.81378,2.70493,1.82107,0.7369,0.26322,0.27303,0.10454,0.23002,1.95185,0.24173,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12963.5,1.81921,2.76326,1.80327,0.72314,0.21976,0.23343,0.09142,0.22332,0.93487,0.23944,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13321.6,1.80202,2.6972,1.79722,0.76454,0.21573,0.24339,0.09557,0.22918,1.03397,0.24724,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13681.8,1.82818,2.65343,1.83358,0.74748,0.25202,0.25502,0.10735,0.21962,1.86095,0.2355,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,14038.8,1.77348,2.54191,1.77811,0.75215,0.22972,0.28479,0.11815,0.2333,0.93441,0.24609,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14395.6,1.76175,2.48533,1.77271,0.74669,0.23387,0.25329,0.1087,0.22231,0.94254,0.23717,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14755.2,1.75168,2.5503,1.75569,0.75783,0.25403,0.2896,0.12208,0.22508,1.59783,0.24,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,15119,1.7183,2.51338,1.71555,0.76658,0.2602,0.29381,0.12199,0.22364,3.26415,0.23915,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,15477.2,1.74095,2.5312,1.76824,0.75872,0.23589,0.25109,0.10819,0.22434,1.44579,0.24225,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,15834.3,1.7661,2.56126,1.77046,0.77463,0.2621,0.28463,0.11554,0.22539,1.58166,0.24149,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,16191.9,1.79584,2.46029,1.79816,0.78117,0.26941,0.30697,0.12478,0.22169,1.52342,0.23829,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,16549,1.74659,2.5161,1.7904,0.75731,0.25,0.29119,0.11998,0.22356,1.50542,0.24027,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,16906.7,1.78677,2.42764,1.78089,0.79245,0.26411,0.31432,0.13003,0.22338,1.23092,0.23921,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,17266.2,1.76256,2.40162,1.76221,0.76939,0.24259,0.29402,0.11333,0.23627,1.42107,0.25045,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17623.8,1.74166,2.4086,1.75422,0.77644,0.27419,0.29602,0.12263,0.22205,1.49365,0.23514,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,17980.4,1.7314,2.51214,1.74651,0.75272,0.28831,0.30946,0.13137,0.21811,1.53692,0.23481,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,18337.7,1.68351,2.4699,1.7284,0.76308,0.25806,0.30101,0.13376,0.21434,1.25871,0.23202,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,18700.2,1.74783,2.44818,1.77997,0.77085,0.27823,0.30826,0.13257,0.21724,1.06838,0.2329,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,19060.5,1.67376,2.32347,1.68858,0.74326,0.28654,0.28156,0.12254,0.21609,1.04603,0.23069,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,19420.9,1.69662,2.31453,1.70742,0.78441,0.27016,0.3155,0.13575,0.21752,0.63992,0.23282,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,19781.9,1.67038,2.41622,1.70675,0.78684,0.26613,0.3088,0.12664,0.22134,1.38984,0.23643,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,20144.1,1.72657,2.35452,1.75883,0.81003,0.25806,0.32332,0.13797,0.22072,0.81094,0.23612,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,20506.4,1.68556,2.32982,1.72999,0.80978,0.27621,0.33372,0.14545,0.21614,1.07258,0.23128,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
