metric,value
accuracy,0.984127
auc_healthy,0.999733
auc_sick_non_tb,0.998980
auc_tb,0.997325
avg_precision,0.972651
avg_recall,0.968567
f1,0.970585
precision,0.972651
recall,0.968567
roc_auc_macro_ovr,0.998679
roc_auc_weighted_ovr,0.999163
sensitivity_healthy,0.992982
sensitivity_sick_non_tb,0.987719
sensitivity_tb,0.925000
specificity_healthy,0.995652
specificity_sick_non_tb,0.985507
specificity_tb,0.993860
